#SYMBOL;#TYPE;#NOTUSED;#NOTUSED;#COMMENT
#READ;;;;
HEADER.Teil_Aktuell_Daten.Res_128_999[40];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[41];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[42];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[43];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[44];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[45];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[46];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[47];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[48];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[49];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[50];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[51];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[52];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[53];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[54];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[55];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[56];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[57];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[58];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[59];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[60];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[61];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[62];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[63];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[64];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[65];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[66];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[67];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[68];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[69];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[70];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[71];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[72];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[73];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[74];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[75];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[76];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[77];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[78];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[79];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[80];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[81];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[82];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[83];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[84];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[85];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[86];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[87];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[88];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[89];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[90];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[91];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[92];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[93];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[94];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[95];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[96];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[97];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[98];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[99];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[100];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[101];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[102];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[103];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[104];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[105];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[106];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[107];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[108];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[109];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[110];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[111];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[112];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[113];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[114];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[115];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[116];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[117];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[118];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[119];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[120];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[121];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[122];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[123];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[124];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[125];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[126];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[127];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[128];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[129];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[130];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[131];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[132];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[133];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[134];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[135];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[136];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[137];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[138];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[139];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[140];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[141];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[142];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[143];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[144];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[145];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[146];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[147];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[148];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[149];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[150];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[151];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[152];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[153];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[154];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[155];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[156];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[157];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[158];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[159];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[160];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[161];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[162];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[163];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[164];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[165];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[166];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[167];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[168];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[169];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[170];BYTE;B#16#0;B#16#0;
